Company,Executive,Title,Since,Notes,Updated
Accenture,Julie Sweet,CEO,2019,"Succeeded Pierre Nanterme, died",2019-01-31
Aditya Birla Group,Kumar Mangalam Birla,Chairman,1995,Part of the Birla family business house in India,2018-10-01
Adobe Systems,Shantanu Narayen,"Chairman, president and CEO",2007,Formerly with Apple,2018-10-01
Agenus,Garo H. Armen,"Founder, chairman, CEO",1994,Founder of the Children of Armenia Fund (COAF),2018-10-01
Airbus,Guillaume Faury,CEO,2012,Succeeded Louis Gallois,2017-11-14
Alibaba,Daniel Zhang,CEO,2015,Previously with Taobao,2018-10-01
Amazon,Andy Jassy,CEO and president,2021,,
Advanced Micro Devices,Lisa Su,CEO and president,2014,Formerly with Texas Instruments,2018-10-01
American Express,Stephen Squeri,Chairman and CEO,2018,Former vice chairman of American Express since 2015,2018-10-01
Anthem,Joseph R. Swedish,"Chairman, president and CEO",2013,"Previously with Centura Health and Trinity Health (Livonia, Michigan)",2018-10-01
Apple,Tim Cook,CEO,2011,Replaced Steve Jobs,2018-10-01
Arcelor Mittal,Lakshmi Niwas Mittal,Chairman and CEO,2006,Owner of Queens Park Rangers F.C.,2018-10-01
AT&T,John Stankey,CEO,2020,Former CEO of WarnerMedia,2020-11-19
BAE Systems,Charles Woodburn,Chief Executive Officer,2008,Succeeded Ian King,2018-10-01
Bajaj Allianz General Insurance,Tapan Singhel,MD and CEO,2012,President of the Indo-German Chamber of Commerce,2018-10-01
Banco Bilbao Vizcaya Argentaria,Carlos Torres Vila,Chairman and CEO,2015,Previously with Endesa,2018-10-01
Bank of America,Brian Moynihan,Chairman and CEO,2009,Previously with FleetBoston Financial until it merged with BOA,2018-10-01
Barclays,Jes Staley,Group Chief Executive,2015,Succeeded Antony Jenkins,2018-10-01
Berkshire Hathaway,Warren Buffett,Chairman and CEO,1970,One of the world's wealthiest people,2018-10-01
Best Buy,Hubert Joly,Chairman and CEO,2012,Previously CEO of CWT,2018-10-01
Bharti Enterprises,Sunil Bharti Mittal,Founder and chairman,1985,Founder of the firm,2018-10-01
Blackstone Group,Stephen A. Schwarzman,"Chairman, CEO and co-founder",1985,Co-founded the firm with Peter George Peterson,2017-11-15
BHP,Andrew Mackenzie,CEO,2013,Previously with BP and the Rio Tinto,2017-11-15
BMW,Oliver Zipse,Chairman of the board of management,2020,Succeeded Harald Krüger,2017-11-15
Boeing,Dave Calhoun,"Chairman, president and CEO",2020,Succeeded Dennis Muilenburg in the aftermath of Boeing 737 Max crisis.,2015-2020
Boston Consulting Group,Rich Lesser,President and CEO,2013,Replaced Hans-Paul Bürkner,2017-11-15
BP,Bob Dudley,Group Chief Executive,2010,Previously led TNK-BP,2017-11-15
Campbell Soup Company,Denise Morrison,President and CEO,2011,12th leader of the company,2017-11-14
Canonical,Mark Shuttleworth,Founder and CEO,2017,Stepped down as CEO in 2009 and resumed in 2017,2017-11-14
Capital One Financial,Richard Fairbank,"Founder, chairman and CEO",1988,Co-founded the firm with Nigel Morris,2017-11-14
Caterpillar,Jim Umpleby,CEO,2017,Succeeded Douglas R. Oberhelman,2017-11-14
Chubb,Evan Greenberg,Chairman and CEO,2004,Former COO of American International Group,2018-10-01
Cisco Systems,Chuck Robbins,CEO,2015,"Succeeded John T. Chambers, who became the chairman",2017-11-14
Citigroup,Jane Fraser,CEO,2021,Succeeded Michael Corbat,2022-02-03
Coca-Cola,James Quincey,Chairman and CEO,2008,Previously the firm's COO,2017-11-14
Cognizant,Brian Humphries,CEO,2017,Succeeded co-founder Francisco D'Souza,2022-08-30
Comcast,Brian L. Roberts,Chairman and CEO,2002,"Son of Ralph J. Roberts, the founder of Comcast",2017-11-14
Credit Suisse,Thomas Gottstein,CEO,2015,Formerly with Prudential,2017-11-14
Daimler AG,Ola Källenius,Chairman of the board of management,2019,Also head of Mercedes-Benz,2020-08-08
Dell,Michael Dell,Chairman and CEO,1984,Founder of the firm,2017-11-14
Delta Air Lines,Ed Bastian,CEO,2016,Formerly with Acuity Brands,2021-11-11
Deutsche Bank,Christian Sewing,CEO,2018,"Former head of private and commercial banking at Deutsche Bank, replaced John Cryan",2018-12-19
Deutsche Post,Frank Appel,CEO,2008,Previously with McKinsey & Company,2017-11-14
Dickey's Barbecue Pit,Roland Dickey Jr.,CEO,2016,Grandson of the company founder.,2019-05-28
Dow Chemical Company,Edward D. Breen,CEO,2015,Previously CEO of Tyco International,2017-11-14
Dr. Reddy's,G. V. Prasad,Co-chairman and CEO,2001,Previously MD of Cheminor Drugs before it was acquired by Dr. Reddy's,2017-11-14
eBay,Devin Wenig,President and CEO,2015,"Third CEO of the company, after Meg Whitman and John Donahoe",2017-11-14
Electronic Arts,Andrew Wilson,CEO,2013,On the board for Intel,2017-11-14
Ericsson,Börje Ekholm,President and CEO,2017,"On the boards for the Alibaba Group, Nasdaq, Trimble, and the Royal Institute of Technology.",2017-11-14
ExxonMobil,Darren Woods,Chairman and CEO,2017,Replaces Rex Tillerson who became United States Secretary of State,2017-11-14
EyeMail Inc.,Lisa S. Jones,CEO,2004,Founder,2021-11-06
Ernst & Young,Carmine Di Sibio,Global chairman and CEO,2019,Succeeded Mark Weinberger,2017-11-14
Facebook,Mark Zuckerberg,Chairman and CEO,2004,Co-founded Facebook in 2004,2017-11-14
FedEx,Frederick W. Smith,Chairman and CEO,1971,Founder of the company,2017-11-14
Fenty Beauty,Rihanna,Founder and CEO,2017,became self-made billionaire due to success of the company,2017-09-08
Fiat,Sergio Marchionne,CEO,2004,"Also chairman of CNH Industrial, Ferrari, Maserati, Chrysler and SGS S.A.",2017-11-14
Fidelity Investments,Abigail Johnson,"Chairman, president and CEO",2014,"Granddaughter of the firm's founder, Edward C. Johnson II",2017-11-14
Fine Hygienic Holding,James Michael Lafferty,"Chief Executive Officer, Member Board of Directors",2018,"Former regional CEO for P&G, Coca-Cola, and BAT",2021-02-05
Ford,James Hackett,President and CEO,2017,"Previously CEO of Steelcase, succeeded Mark Fields",2017-11-14
Foxconn,Terry Gou,Chairman and CEO,1974,Founder of the firm,2017-11-14
Fox Corporation,Lachlan Murdoch,Executive chairman and CEO,2019,Son of Rupert Murdoch,2020-03-05
FUBU,Daymond John,"Founder, president and CEO",1992,Also an investor on the American version of Shark Tank,2017-11-14
General Dynamics,Phebe Novakovic,Chairman and CEO,2014,Worked for the Central Intelligence Agency and the United States Department of Defense,2017-11-14
General Electric,H. Lawrence Culp Jr.,Chairman and CEO,2018,"Prior to joining GE, Culp worked at Danaher Corporation in Washington, D.C.",2018-10-01
General Motors,Mary T. Barra,Chairman and CEO,2014,First female CEO of a major global automaker,2017-11-14
GlaxoSmithKline,Emma Walmsley,CEO,2017,Replaced Andrew Witty on his retirement,2017-11-13
